French,Fon
Dossu a éprouvé beaucoup de souffrance devant la mort.,Dosu jì kú yà gègé
La maladie l’a-t-elle guéri ?,Azɔn ɔ gbɔ n'i a
Que tu sois heureux du matin au soir.,Nù ná nyɔ́ nú wè sín káká yì zúdohlandò
Prenez la prochaine sortie ,Mi ze titɔn ɖe na wa ɔ.
Le vert est ma couleur préférée,Amamu wε nyi ɖe un nɔ ba ɔ.
Je conduirai ce nouveau véhicule.,Un na kun hún yɔyɔ nɛ ɔ
Je vous montrerai ma façon de faire.,Un na xlɛ́ w’alɔ ce mi
"Avant d'être jardinier, il a été professeur pendant dix ans. : ","Co e na nyi jikpamεnɔtɔ ɔ, e ko nyi mεsi nu xwe wo."
C’est l’Évêque qui m’a baptisé.,Yɛhwenɔgán wɛ lɛ yɛhwesin nú mì
Cinquième,Atɔɔngɔ ɔ
Il a un fait un talisman pour annihiler celui qu’il lui envoyait.,É ɖó gɛ̀ n’í
fermer la bouche,bɔ̀ nu - myɔ̆ nu
Partons.,Mì nú ma ɖidó
Tâche de faire doucement là.,Vɛ̆ wa ko ɖò fínɛ́
J'ai un garçon et une fille ,"Un ɖo sunnu ɖokpo, kpo nyɔnu ɖokpo."
Il se réveillera.,E ná fɔ́n
"Eh ! L’ami, bonjour ! Eh !",Kú nya nɛ́ !
Il me singe.,E nɔ́ vlέ mì
Il est en train de manger.,E ɖo nǔ ɖu wɛ
As-tu quelque chose à me dire ?,Xó ɖé tíín à ?
Tu l'aimes.,A yi wan nu i
"Ils lui offrirent de l'or, de l'encens et de la myrrhe.","Ye na ɛ siká, bo na ɛ zalinkpɔn kpodo celu xɔ akwɛ ɖé kpan"
Je suis seul.,Xolólo wɛ un ɖè
On a mis le feu à la brousse.,E dó zò zunkan ɔ́ mɛ̀
Je l’ai vu de loin.,Un mɔ ɛ sɛ́ dó ɖò zogà
Noce,"Asikpíkplá, asidida, agbanɖuɖù"
Qu'est-ce qu'on mange à midi ?,Etɛ mi na ɖu ɖo gan wewe mɛ ?
toucher le coeur,hùnhún ayì
Les confitures sont délicieuses,Ja lε vivi tawun
La sauce est bien assaisonnée.,Nùsúnnú yeɖé
C’est mon cousin.,Tɔ́ ce nɔví sín vĭ wɛ̀
Je suis aux aguets.,Un ɖò nù xɔ́ tó wɛ̀
Le boulanger retire le pain du four.,Wɔxuxublotɔ do wɔxuxu ɖe sinsinkpo mɛ we
Va et ne reviens plus.,Yì bo ma ka sɔ́ lɛ́ wá ó
Il s’est moqué de moi.,É ɖɔ̀ hwàn wǔ cè
"Eux, aussitôt, laissant la barque et leur père, le suivirent.","Azɔn ɖokpo ɔ, ye jó akló ɔ kpodo tɔ́ yetɔn kpo dó, bo xwedó e"
Il est étourdi.,Ayi tɔn nɔ nɔ̀ nù jí ă
"Dans les champs inondés, la récolte sera mauvaise.","Gle lɛ ɖe tɔ gba lɛ ɔ, nukun lɛ na gble"
C'est dedans.,E ɖ'é mɛ́
Il est venu à l'improviste.,E wá ma ɖ'ázăn
Iras-tu à cette cérémonie ?,A na yì nùwíwá énɛ́ ɔ́ dó mɛ́ à ?
Quand tu seras revenu.,A yi bo wa ɔ́
nager dans la mer,lìn xù
Je n'ai pas d'argent.,Un ɖo akwɛ ă
Le feu a brûlé ma plantation de café et tout est devenu une brousse desséchée.,Zo ɖu kafɛ́ gbó cé bɔ̀ bì húzú zun yajaa ɖo tè
J'y étais allé comme chaque matin.,Un yi di zanzan tɛgbe ɖɔhun
Bonjour (pluriel).,Mi kú d’é wú
Je vais bien.,Un ɖò ɖagbe
Dès l'âge de huit ans,Sin xwe tantɔn
Je partage mon argent avec des amis,Un ɖo kwε ce ma wε kpodo xɔntɔn ce lε kpo.
Questionner les gens te remplit-il l'estomac ?,Nu kan byɔ ɔ xo wɛ nɔ gɔ nu we a ?
être détendu,bɔ̀ - gbɔ̀jɔ́
Ne dis pas de blagues ,Ma lɔya ɖɔ o.
As-tu l'heure juste ?,Gan towe sɔgbe à ?
Il n'est pas comme les autres choses.,E cí nù ɖè lɛ́ ɖɔ́hún ă
Il a versé de l’eau à terre.,E flí sin kɔn ny’àyĭ
Vous avez confiance que vous aurez la récompense de votre foi.,Mi gb'adɔ ɖɔ̀ mi ná yí nùɖíɖí mitɔn sín ajɔ̀
ouvrage,azɔ̆ - azɔ̀wìwá
Brenda est professeur d'anglais. ,Brenda ɔ mεsi glεnsingbe kplɔnmεtɔ wε.
penser,lìn - lìn nŭ - vὲ dŏ... wὲ sín
vouloir violer une femme,hwlέn kàn xá mε
Je crois ce que vous me dites.,Un ɖi nuɖe ɖɔ nu mi ɖe ɔ
Ils recherchent le voleur.,Yĕ ɖò ajotɔ́ ɔ́ gbé nyá wɛ̀
Je suis complètement perdu.,Un bu ali gbidigbidi
Oh là là !,Cĭgì !
au loin,gbĕ - gbejí - sέ dŏ - zɔ̀ - zɔgà
igname nouveau,teví fɔ́
Le temps jadis.,Hwenu xóxó ɖ'áyi tɔ́n ɔ́
teindre les cheveux en noir,dŏ yowunbó ɖà
Est ce que tes femmes se portent bien ?,Asi towe lε ɖo gangi à ?
Ca lui sied bien.,E nyi nu bo j'acɔ
Il y en a beaucoup.,É su kpɔ́
Ils se sont enivrés.,Yĕ nù ahan mù
Cette terre est épuisée.,Ayìkúngban ɔ́ kó cá
Les enfants ne sont pas heureux.,Vi lɛ ɖo awajijɛ mɛ a
Faites le bien,Mi nɔ blo ganji.
"À la maison, je ne fais rien à part mes devoirs.","Do xwe gbe ɔ, un nɔ wa nuti zε azɔ ce lε wu a."
Il veut la chose à tout prix.,Nù ɔ́ gbo vɛ̆ ɛ̀
"Vous ne connaissez pas l'homme, moi oui.","Mi tuun gbɛtɔ a, nyɛ tuun"
A nos chers disparus.,Nu mɛ bubu mitɔn le sin ta mɛ
tamiser de la farine,ta linfín
Le cadavre n’est pas encore enterré.,Cyɔ́ kó yì aklɔn mɛ̀ ă
"On les rencontre dans nos rues et marchés, les plateaux sur la tête vendant à la criée ou transportant des charges lourdes qui écrasent leurs frêles corps, dans les champs courant derrière des bêtes d","E nɔ kpe ye ɖo ali mitɔn lε ji kpo aximε tɔn lε mε, agbajε nɔ ɖo ta nu ye bɔ ye nɔ ɖo nu sa wε alɔ ye nɔ hεn agban kpikpεn, ye nɔ hεn kpo ɖo alɔ mε bo nɔ nɔ kanlin ɖaxoɖaxo lε gudo "
C'est ton enfant.,Vi hwɛtɔn wɛ
Mes parents m’accompagnent à l’autobus.,Mɛjitɔ ce lɛ ɖo kpikpla mi yi hun ɔ kɔn wɛ
Mon mari et mes enfants.,Asu ce kpodo vi ce lɛ kpo
Et il est plus jeune que toi.,Bo e ka hwe hu we
Tu joues et tu gagnes ,A nɔ xo bo nɔ ɖu.
un géant,mε sakasakà
Pourquoi donc es-tu venu ?,Nɛ̀ ká gbɔ̀n bɔ̀ a wă ?
Il aiguise le couteau.,E ɖo jivi ɔ gan wɛ
bile,adanvέ - dεhɔ́
Il s'est réveillé en sursaut.,E fɔ́n jawùn
Poser les filets.,Ze ɖɔ ɖ'ayi
L’eau a-t-elle commencé à bouillir ?,Sin ɔ kó fyɛ́ à ?
Il a insulté la famille.,E zun hɛnnu
Il a été impoli à mon égard.,E bà hă mì
J’aime faire mon travail ,Un yi wan nu azɔ ce wiwa.
Quel travail fais-tu ?,Azɔ tɛ a nɔ wa ?
Il persiste à vouloir le faire.,E gbɛ́ kpo ɖò nà bló wɛ́ jɛ́n wɛ̀
Les marchands du marché vendent de la vaisselle ,Nusatɔ aximε tɔn lε nɔ sa nuɖugannu.
Il est resté debout en équilibre instable.,É cí te géɖéé
Le tonnerre gronde.,Jĭ dŏ gbè
tonner avec grand fracas,sò nyì awăn
Sa belle-mère.,Asú tɔ́n nɔ̀
Elle danse mieux que la larve de moustique.,É se gàn hú weɖúweɖú
Je vais dans mon champ.,Un xwè gle ce mɛ̀
Le chemin est montant.,Ali xá jĭ
Il a mis un habit déchiré.,É dó awu kíjákíjá
Tu es gourmand.,A wàn
Il pèse plus de 150 kg,E nɔ da hu kilo 150
chef de quartier,slaagán - slaánɔ̀ - slàgán
Vous démolissez la porte,Mi ɖo hɔn ɔ gba wε.
Il a atterri à Cotonou.,E j'àyĭ ɖò Kútɔ́nú
Le roi Gézo est dans sa majesté.,Daá Gezo ɖò agba tɔn mɛ̀
Que projettes-tu de faire avec cela ?,Ani a lin ná dó wá ná ?
Mes petits enfants.,Aɖimɛví cé lɛ́ mì
Il a acheté pour cher des choses sans valeur.,É ɖù ayò
torpiller un bateau,gbà hŭn
"C’est quelqu’un qui n’est pas droit, il n’est pas bien du tout.","Mɛ kutukutu w’ɛ́ nyí, é nyí mɛ ɖagbe ɖé ă"
Dans la cour.,Ɖo kɔxo ɔ
Ton haricot n’a plus d’eau.,Ayikún tówé mɛ sìn
J'ai mal au pied.,Afɔ ɖò nù wá xá mí wɛ̀
Je me suis déshonoré.,Un sɔ́ ɖó wì ɖé ă
Je tourne à droite.,Un ze ɖo alɔ ɖisi mε
télégraphier,tɛ̀kàn - tɛ̀kàn sɛ̀ dŏ mε
"Hier, nous avons attendu un taxi pendant vingt minutes.","Sɔ ɔ, mi nɔ te kpɔn taxi nu cεju ko"
Le vent gonfle la voile.,Jɔhɔn gɔ avɔ ɔ
Que vas-tu en faire?,Etɛ́ a na wá ná
Porte ce livre à ton frère.,Sɔ́ wèmá élɔ́ yí nú nɔví tówè
Les moustiques m'ont piqué.,Zànsúkpɛ́ lɛ́ ɖú mì
Ils ont bu de l'eau.,Ye nu sin
gare,hùnɖótὲn - lagáà
Il a de l'amour pour sa femme.,E ɖo wanyiyi nu asi tɔn
La route est large,Ali ɔ gblo
Endetter (s’),Đu axɔ
Je cherche mon livre.,Wèmá ce ba wɛ un ɖé
Il achète de la viande.,E ɖo lan xɔ wɛ
renverser de l'eau,gbà sìn
pardonner,nă sísɔ́kὲ - sɔ́ kὲ - zĕ kὲ
marquer un but,dŏ agwĕ
C'est la première rue à gauche après le feu rouge.,Ali nukɔnnukɔntɔn do amyɔ mɛ nyi ye ze
On retient ceci.,E hɛ̀n élɔ́ ɔ́ d’áyi mɛ̀
"Suivez-moi, je vais vous y conduire : ",Mi xwe do mi na kpla mi yi.
Je cherche toujours du travail !,Un kpoɖo azɔ ba wε.
Il ne prend pas soin de son enfant.,E lébe nú vì tɔ́n ă
Il est paralysé.,Wù tɔ́n kú
Il est prétentieux.,E nɔ́ klá jɛ̀ nù nu
Il se gonfle.,E jí ná
On ne plaisante pas avec la mort.,Kú do ma ɖɔ̀ hwàn ná
La servante nettoie les vitres,Devinyɔnu ɔ ɖo wekpεn lε sunsun wε.
Ne regarde pas nos péchés.,Ma kpɔ́n hwɛ mìtɔ́n lɛ́ ó
Il s’obstine après moi.,É jɛ̀ kú dó jĭ cè
calmer,cí asɔ̀ nú mε - dŏ gbɔ̀ - hùhwέ
Il crie très fort.,É nɔ́ sú xó lélélé
acné,nyɔkúsí - nyɔkwésé
Je partage le gâteau.,Un ɖo yovo dokɔ ɔ ma we
Cotonou n'est plus Cotonou.,Kutɔnu sɔ nyi Kutɔnu ă
faire de la gymnastique d'art,dŏ acà
Cet homme est en train de blasphémer Dieu.,Nya élɔ́ ɖò nu nylá dó Măwŭ wɛ̀
Il ne tient pas en place.,Yonu tɔn nɔ hù zĭnzɛ̀n ă
Tu ne sais pas tenir ta langue.,A nyɔ̆ nu towe hɛ̀n ă
Tu dois obéir à ton père.,A ɖo ná se tónú nú tɔ́ tówè
Tu vas te résigner et te laisser aller à la souffrance ?,A ná jó hwiɖéé dó nú yà wɛ̀ à ?
Je ne vois presque plus rien.,Nukún cé nɔ́ bló vlivlì
Elle a insisté pour que je reste,E ta akiti nu ma nɔ te
Qu’il vous aide à trouver de l’argent.,Nú kwɛ́ ‘lí ní hùn
Tu es en train d'écrire ?,A ɖò nù wlán wɛ́ à ?
On cultive le riz dans la région de Cotonou ,E nɔ lε mɔlikun gle ɖo Kutɔnu sin toxo ɔ mε.
être à la recherche de quelqu'un,ɖò mε gbĕ mὲ
Tâche de venir !,Vε wa !
Le lézard s'est caché entre les pierres ,Alɔtɔɔ hwla ɖo hwan lε mε.
L’oiseau siffle dans l’arbre.,Xɛvi ɖɔ kun kwin ɖo atin ɔ mɛ
"Et toi, est-ce que tu vas bien?","Hwɛ lo, a ɖo gangi a?"
Le marchand pèse les oranges,Nusatɔ ɔ ɖo yovozεn lε da kpɔn wε.
Les haricots produisent bien.,Ayikún nɔ́ sɛ́n kplɛyɛɛ̀
Il arriva que.,Gbe ɖokpó wá sù
Voyagerons-nous ensemble ?,Mì ná zɔ̀n yi tomɛ à ?
Vos casseroles brillent.,Gannu mitɔn lɛ nɔ kɔn
se déchausser,ɖè afɔkpà
Cette lampe fume.,Zogbɛ́n élɔ́ ɖ'azɔ si wɛ̀
Leur patron est venu.,Gan etɔn wa
Quand cela aura-t-il lieu ?,Hwetɛ́nú é ká ná jɔ̀ ?
Il n’ira jamais à l’école.,E na yi azɔmɛ gbeɖe ă
"Nous avons trois enfants, deux garçons et une fille.","Mi ɖo vi atɔn, sunnu we, nyɔnu ɖokpo"
L'eau a-t-elle commencé à bouillir ?,Sin ɔ ko fyɛ a ?
Il a les cheveux frisés ,Jean ɖo ɖa wlowlo.
"Il se dirige vers moi, les deux mains tendues : ","E ja jawe gɔn ce, alɔ wε lε didlεn."
"Dans ta chambre, on voit des livres partout.","Đo xɔ towe mɛ ɔ́, e nɔ́ mɔ̀ wèmá kpétó"
"Il n’y a pas eu d’incident aujourd’hui, on verra demain.","Nùɖé kó jɔ égbé ă, é kpo sɔ tɔ̀n"
Kofi a trop mangé.,Kofi ɖu nu din
Priez pour nous.,Mi xa yɛhwe nú mĭ
Je n’ai pas eu le temps.,E ján mì
La maison est à louer.,Xwe ɔ xixaya wɛ
"Les toilettes pour dames sont dans l’entrée, deuxième porte à droite .",Nyɔnu lε sin wulεkpa ɖo aɖisin mε hɔn wegɔ ɔ
Mets tout en ordre.,Blò nŭ bĭ ɖó alɔ jí
J'irai voir s'il est rentré.,Un na yí kpɔ́n ɖɔ̀ é kó wá xwé gbé í
La journée passe vite.,Hwenu nɔ ya wu din
Les boîtes sont garnies de délicieux bonbons.,Gbavi lɛ gɔ kpodo bonbon vivi kpo
Pourquoi es-tu venu ?,Etɛ́ gbé a tɔ́n ?
commettre une injustice,dŏ hwὲ agɔ̀ - ɖù ahizì
Il y a un Dieu.,Măwù tíìn
II refusa d'écouter sa prière,E gbɛ to ɖo vosisa tɔn
Il bruine.,Jĭ fùn
Fermer l'œil,Xwe nukun
J'essaie seulement de t'aider.,Un jan do alɔ nu we kpowun wɛ
Je n’ai pas soif.,Kɔ xu mi ă
"Un homme est allé au combat et revient à la maison, et on lui redonne de la poudre. - Dieu m'a-t-il refusé tout repos ?","Nya ɖe yi ahwan bo wa xwe, bɔ e lɛ ma ɖu n’i. - Sɛ wɛ tɛ ma gbɔjɛ mi à ? "
Venez et voyez.,Mi wá bó wá kpɔ́n
Le juif lit la Bible ,Juifu ɖo biblu xa wε.
charité,nùnìná - wànyìyí
Il marchande en cherchant à obtenir le produit à vil prix.,É ɖè axi kpɔcɔnu
Combien pèse ton frère bob ?,Nabi wε nɔvi towe Bob nɔ da ?
Les pommes sont mûres car elles tombent de l’arbre.,Aslɔ lε mya ɖo ye ɖo ayi jε wε sin atin ɔ ji
L'oiseau chante,Xεvi ɔ nɔ ji han
Le chien aime ses maîtres.,Cuku ɔ yi wan nu gan tɔn
La deuxième mouche.,Sukpɔ wegɔ ɔ
tenue de fête,xwewɔ̀ - xwewù
Cela restera sous ta responsabilité.,A na nɔ ɛ kɔ̀n
Il fera.,E na blo
L'enfant réfléchit et répondit,Vi ɔ lin ta mε kpɔn bo nyi gbe ɖɔ
Tu es gentil.,A nɔ na nu mɛ
sein,anɔ̆ - nέnέ
ouvrir les oreilles,tέ tó
Je n'y attache pas d'importance.,Un kéyà ná ă
J’ai eu un avortement involontaire.,Adɔgo ɔ gblé dó mì
C’est d’ici que je suis.,Fínu wɛ̀ un nyí
Il vient d'un vrai village.,Gletatan wɛ e gosin
"On s'occupera de lui, ne t'inquiète pas .","Mi na wa wlibo n'i, ma ɖi xεsi o"
Vraiment ?,Nugbo a ?
Nous approchons de Porto-Novo.,Xɔgbonú kó yá
Il est de très bonne lignée.,Kún tɔ́n nyɔ́
J'ai beaucoup d'argent.,Un ɖo kwɛ gege
être en bonne santé,ɖò ɖagbè - mɔ̀ wŭ - nɔ̀ ɖagbe - nɔ̀ ɖagbè - nyɔ̆ nú mε
J’ai attendu quelques instants.,Un nɔ te nu gan xixo kpɛɖe
Un enfant mangeait un oeuf de poule près de sa mère,Vi ɖokpo ɖo koklosi azin ɖu wε ɖo nɔ tɔn kpa.
Tu vends cher ,A nɔ sa nu v’axi.
Le vent violent vient de briser les branches du manguier,Jɔhon gangan ɔ hεn amagatin sin ala wεn din trolo din.
Console-le.,Dŏ gbɔ n’í
Le malade reste faible.,Azinzɔnnɔ ɔ vɔ hlɔnhlɔn
Le grand génie réfléchit et dit.,Kanlin lɛ sin gan ɔ lin tamɛ bo ɖɔ
Amusez-vous bien,Mi d'ayihun ganji.
Viens que nous mangions ensemble.,Wă nú mì nà d’álɔ kpɔ́ bá ɖù nǔ
se dépenser,sà hlɔ̀nhlɔ́n
Ce n’est pas entièrement mauvais.,E nylá bĭ ă
Je cherche toujours Madame Jackson.,Un kpo ɖo Madame Jackson ba wε
Mon abcès a donné du pus en giclant.,Nùtitɛ́ cé tɔ́n sin gbluwùn
Août a 31 jours,Avivɔsun ɖo azan gban nukun ɖokpo.
Bonne arrivée !,Doo nú wè !
Ils lui répondirent et dirent…,Yè yí gbe n’í bó ɖɔ̀…
Va lentement,Zɔn dεdε
gros et bien rond,globotoò - glotoò - mlinɔmlinɔ̀
"À la maison, je ne fais rien à part mes devoirs.","Do xwe gbe ɔ, un nɔ wa nuti zɛ azɔ ce lɛ wu a"
Il a espionné et entendu notre affaire.,É xɔ́ nù tó bó sé xó mĭtɔ̀n
Il est à la maison.,É ɖò xwé gbè
Ce travail te deviendra familier.,Azɔ̀ élɔ́ ná má wè
Kofi a travaillé pour avoir de l'argent.,Kofi w'azɔ bo ba do mɔ kwɛ
Tu penses qu'il pourrait être absent un mois ?,A lin ɖɔ e si gɔn nu sun ɖokpo à ?
C'est le dernier-né.,E jì gbɔ̀n tó
Il n’a pas entendu.,É sè ă
Quels sont les mois de l'année ? ,Sun tε lε wε ɖo xwe ɖokpo mε ?
Je n’aime pas manger de l’igname.,Teɖuɖu nɔ jló mì ă
Il lui a menti (pour obtenir quelque chose).,É ɖò adingbàn n’í
Il n’est donc pas parti ? ,E sɔ yi lɔ à ?
II est de rapport agréable,E nɔ dɔn mɛ
Quand aimes-tu ? ,Hwetεnu wε a nɔ do wan yiyi ?
faire des éclairs,jĭ kὲ wùn - jìkέwùn
"Par ses propres forces, l’homme ne peut pas percer le mystère de la vie.",Hlɔ̀nhlɔ́n gbɛtɔ́ tɔ́n sixú mɔ̀ nŭ jɛ̀ nùbúdò gbɛ ɔ́ tɔ́n wú ă ?
champ,adà - gbò - gbomὲ - glè - glelilὲ - gleta
"Une vache s’éloigne de son troupeau, le chien lui donne la chasse.","Nyibusi ɖokpo yi zɔ ɖo gbɛ tɔn lɛ, cuku ɔ jɛ nyinyɛ ji"
N’as-tu pas compris ?,A sè à é ?
payer tribut,jŏ agbàn - jŏ kέn
Il mange du gari sec.,E ɖò galí xwí wɛ̀
Maïs bouilli.,Gbade ɖiɖa
Il n'y a pas de soleil,Hwezivo ɖe a
être anémié,hùn hwè dŏ mε - hùn vɔ̀ dŏ mε
Il est au bas de la route.,E ɖò ali do mɛ̀
Le garçon dort sous la couverture.,Sunnuvi ɔ ɖ’amlɔ dɔ wɛ ɖo avɔ gwlɛ
"L’affaire en cours, je ne l’ai pas entendue clairement de la bouche de mon enfant.","Xó é tíín ɔ́, un ko sè hézéhézé tɔ́n ɖò vì cé nu ă"
Je ne m’y attendais pas.,É hɛ̀n hŭn nú mì
C'est lourd,E kpɛn
"Ici ou ailleurs, ça m'est égal","Fi alo fi ɖevo, e kan mi a."
ne pas savoir danser,kú gàn - nylă wè ɖŭ - nylàn wè ɖŭ
tomber dans une étendue d'eau,jὲ tɔ̀
Je lui en parlerai dès lundi ,Un na ɖɔ xo nε ɖo tεnigbe.
acquitter,jŏ dŏ
Il est à la surface de l'eau.,E ɖò sìn nukúnmὲ
Surveille tes paroles.,Ma nú xó tówé gbà gbà ó
"Si un bokono ne fait pas sa propre divination, il ne procède pas à celle d'autrui.","Bokɔno ɖe ma kan etɔn a ɔ, e nɔ kan mɛ tɔn ă. "
Viens apprendre à marcher à l’enfant.,Wà dó tɛɛtɛ́ nú vì ɔ́
différer,lìlέ ɖŏ
Résume.,Jà gbɔ́n é jí
Les pommes sont mûres car elles tombent de l’arbre.,Aslɔ lɛ mya ɖo ye ɖo ayi jɛ wɛ sin atin ɔ ji
Il a la langue bien pendue.,É ɖì ɖɛ̆
Il y a de la viande de mouton.,Gbɔ lan ɖie
rat des champs,afìn - gbèjá
Ma petite soeur,Nɔvíce kpɛvi nyɔ̌nu
Il les attache,E ɖo ye sin wε
s'abriter du vent,bὲ - bὲ jɔhɔ̀n
L’homme peut-il par ses propres forces percer le mystère de la vie ?,Gbɛtɔ́ ká ɖó hlɔ̀nhlɔ́n é sixú mɔ̀ nŭ jɛ̀ nùbúdò gbɛ ɔ́ tɔ́n wú é à ?
"Je vis dans le pays des Blancs, aux Etats-Unis.","Un nɔ nɔ ɖo Yovo tomɛ, ɖo Ameliki"
Koku croit que Bayi est venu.,Bayi wa wɛ Kɔku ɖi
"Je me souviens être allée à l'école et à l'église ici, mais pas à l'hôpital : ","Un flin ɖɔ un yi azɔmε kpodo amisa kpo ɖo fi, amɔ un yi dotoxwe ɖo fi a."
Au revoir.,Mì nà yí bó wá
Et il est plus jeune que toi,Bo e ka hwe hu we.
Il est mort accidentellement.,Sɛ́ tɔ́n hun gbɛ̀n
Que ton nom soit magnifié partout.,Nu nyi towe ni su ɖo fi bi
Le temps est menaçant.,Jĭ wŭ
Sa mère pleura et dit,Nɔ tɔn ya vi bo ɖɔ .
Je les lui ai déjà payées.,Un ko sú axɔ́ tɔ̀n
"Comme j'ai perdu la voix, je ne peux crier.","Lee si ɖɔ xo a, ɖo gbe jɛ su"
Le voleur et son chien se méfient des gendarmes.,Ajotɔ ɔ kpodo cuku tɔn kpo ɖo zɔzɔ gbɔn nu kponɔ lɛ wɛ
"En classe, Michel reste tranquille","Ɖo azɔxɔ mε ɔ, Michel nɔ nɔ xwii."
"Demain matin, je viendrai chez toi.","Sɔ̀ zănzăn, un na wá xwé tówé gbè"
Que je prenne les devants !,Má zɔ̀n mì ná yì !
Mon père est décédé.,Daà cé yí savà
"Lorsque les femmes sont contentes, elles applaudissent et crient álúwáásíò ! Owo ! Owo ! Dieu existe.","Nú nyɔ̀nú lɛ́ hùn xòmɛ̀ ɔ, yè nɔ́ xò àsí kpɛ́ bó nɔ́ kpà álúwáásíò ! Owo ! Owo ! Măwù wɛ́ tíìn"
Les poussins sont en train d'éclore.,Kokló ɖò vì flé wɛ̀
Et les tomates seront coupées.,Bo na sεn timati lε
Il aime bien les gens biens.,É nɔ́ yí wàn nú gbɛtɔ́ ganjí
Son pagne est très propre.,Avɔ tɔn mɛ́ bò ɖò cécé
Cette plante aime l’ombre ,Atin enε ɔ yi wan nu yεtεn.
Sorte de tam-tam,"Gɔ̀, gɔ̀hún"
Quoi donc ?,Etɛ wɛ tawun ?
J'apporte une tarte aux pommes.,Un ze yovoslɔ sin anyan jawe
Relève ton pantalon.,Sɛ̀ cokoto towe dó agà
Tu lui offres des fleurs,A ɖo folo n'ε wε.
"Si on dîne de bonne heure, on a faim avant qu’il fasse jour.","E yá wǔ ɖù nù ɔ́, xovɛ́ nɔ́ kó sin mɛ có ayì nɔ́ hɔ́n"
Je suis attentif,Un nɔ se tonu
Combien de livres a-t-il écrit  ?,Wemaxixa nabi e wlan ?
Tu es passé à côté.,E lá wè
T'es-tu aperçu de cela ?,A mɔ ɖó mɔ̆ à ?
C'est Sagbo que je cherche. ,Sagbo ba wε un ɖe.
percevoir l'impôt,yĭ amlɔn kwɛ́ - yĭ takwέ - yĭ tokwɛ́
il y a beaucoup de pollution.,e nɔ polusiɔn nɔ su kpɔ.
Il m'a gardé rancune.,E nɔ kɛ̀n xá mì
Je m'accuse de tous mes péchés,Un yi hwɛ ce lɛ bi gbe
Il n'a pas trouvé de travail à faire.,E mɔ̀ azɔ̀ ná wà ă
Elle a consenti un rabais et vendu à perte.,E sà kpɔcɔnu tɔ̀n
Apporte le fardeau.,Zĕ agban hɛn wá
Il les attrape et les mange,E nɔ wli ye bo nɔ ɖu.
Je mange des oeufs frais.,Un ɖo azin ɖiɖa ɖu wɛ
"Je me promène avec joie, malgré la défense de ma mère","Un ɖo saɖi wε kpodo awajijε, nɔ ce ka gbε nu mi."
On mettra des fleurs sur sa tombe ,Mi na ze folo yɔdo tɔn ji.
Le moineau a pondu trois oeufs dans son nid.,Xɛvi kpɛvi ɔ ɖo azin atɔn ɖo adɔ tɔn mɛ
Depuis le début.,Sín dò ɔ
"""E kpe axɔ sebla mɔɖe wu a""",Nya ɖu axɔ bɔ vodun tɔn wa. E ɖɔ
Il ne prend pas soin de son enfant.,E kéyá nú vì tɔ́n ă
Le plus grand restaurant de la ville ,Nuɖutε ɖaxo toxo ɔ mε tɔn.
querelleur,jlεbatɔ́ - jlεɖɔtɔ́ - mεnubatɔ́ - nùɖɔ́bátɔ́ - nùdɔ̀ntɔ́
mɔ ɖokpo ɔ é hɛn ɔ e na zé eɖee zé ji nu to ɖevo,E sixu hugan mɛɖe bo de e sin tovikɛnmɛ ă
La poule caquette.,Kokló ɖò kɛ́ lɛ́ wɛ̀
La pâte n’est pas cuite et mal préparée.,Wɔ̀ ɔ́ jɛ̀ mǔ bó ɖo kpannyaà
aller jeter,sɔ́ yì kɔ̀n - hùzú kɔ̀n
Je souffre habituellement de forts maux de tête.,Ta nɔ fɛ́n mì
Merci,A blo din
Combien en a-t-il perdu ?,Nabi wɛ ku ɖe ?
Je suis ému.,E ɖù wù nú mì
Toute leur récolte.,Glenukun yetɔn lɛ bi
Nous les couperons dans l’enfance.,Mi na gbo ye ɖo yɔkpɔvu mɛ
se démener,ɖŭ kotokítí - xò kàn
médecin,azɔngbletɔ́ - dotóó
N'oubliez pas de faire vos devoirs,Mi ma wɔn bo wa azɔ mitɔn lε o.
Comment ? Vous avez encore froid ? ,Nε gbɔn ? Jɔhɔn lε ɖo mi sin wε a ?
Sa faim s'est calmée.,Xovɛ́ húhwɛ́ dó wŭ tɔ̀n
Tu n’es pas attentif.,Ayi towe ɖò fí ă
Et les étrangers qui viennent de l’extérieur,Bɔ jonɔ lɛ ye mɛ gosin exterieur
envoûter quelqu'un à distance,dà nŭ dŏ mε
Couvre-le (livre) d’un papier.,Bù wèmá dó è
Tu m’as déshonoré.,A ɖe mì kpò
Il fait très sombre.,Jĭ wú bó sɛ́ alà ayĭ
Le chat est dans la maison,Awii ɔ ɖo xwegbe
Je te présente mes respects.,Un bɛlí nú wè
lion,jawuntá - kinikíní - kinikíní jawuntà
Certaines personnes disent que le monde est en danger .,Mεɖe lε ɖɔ ɖɔ gbε ɔ ɖo awovi sin nu jlεjlε mε
Il a fait comme ça.,É bló mɔ̆ tɔ̀n
Il a 12 ans,E ɖo xwe wewe
